Match_Date,Match_Id,Team_1,Team_2,Winner,Margin,Ground
16-Oct-22,T20I # 1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong
16-Oct-22,T20I # 1825,Netherlands,United Arab Emirates,Netherlands,3 wickets,Geelong
17-Oct-22,T20I # 1826,Scotland,West Indies,Scotland,42 runs,Hobart
17-Oct-22,T20I # 1828,Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart
18-Oct-22,T20I # 1830,Namibia,Netherlands,Netherlands,5 wickets,Geelong
18-Oct-22,T20I # 1832,Sri Lanka,United Arab Emirates,Sri Lanka,79 runs,Geelong
19-Oct-22,T20I # 1833,Ireland,Scotland,Ireland,6 wickets,Hobart
19-Oct-22,T20I # 1834,West Indies,Zimbabwe,West Indies,31 runs,Hobart
20-Oct-22,T20I # 1835,Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong
20-Oct-22,T20I # 1836,Namibia,United Arab Emirates,United Arab Emirates,7 runs,Geelong
21-Oct-22,T20I # 1837,Ireland,West Indies,Ireland,9 wickets,Hobart
21-Oct-22,T20I # 1838,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart
22-Oct-22,T20I # 1839,Australia,New Zealand,New Zealand,89 runs,Sydney
22-Oct-22,T20I # 1840,Afghanistan,England,England,5 wickets,Perth
23-Oct-22,T20I # 1841,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart
23-Oct-22,T20I # 1842,India,Pakistan,India,4 wickets,Melbourne
24-Oct-22,T20I # 1843,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart
24-Oct-22,T20I # 1844,South Africa,Zimbabwe,no result,,Hobart
25-Oct-22,T20I # 1845,Australia,Sri Lanka,Australia,7 wickets,Perth
26-Oct-22,T20I # 1846,England,Ireland,Ireland,5 runs,Melbourne
26-Oct-22,T20I # 1846a,Afghanistan,New Zealand,abandoned,,Melbourne
27-Oct-22,T20I # 1847,Bangladesh,South Africa,South Africa,104 runs,Sydney
27-Oct-22,T20I # 1848,India,Netherlands,India,56 runs,Sydney
27-Oct-22,T20I # 1849,Pakistan,Zimbabwe,Zimbabwe,1 run,Perth
28-Oct-22,T20I # 1849a,Afghanistan,Ireland,abandoned,,Melbourne
28-Oct-22,T20I # 1849b,Australia,England,abandoned,,Melbourne
29-Oct-22,T20I # 1850,New Zealand,Sri Lanka,New Zealand,65 runs,Sydney
30-Oct-22,T20I # 1851,Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane
30-Oct-22,T20I # 1852,Netherlands,Pakistan,Pakistan,6 wickets,Perth
30-Oct-22,T20I # 1853,India,South Africa,South Africa,5 wickets,Perth
31-Oct-22,T20I # 1855,Australia,Ireland,Australia,42 runs,Brisbane
01-Nov-22,T20I # 1856,Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane
01-Nov-22,T20I # 1858,England,New Zealand,England,20 runs,Brisbane
02-Nov-22,T20I # 1859,Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide
02-Nov-22,T20I # 1860,Bangladesh,India,India,5 runs,Adelaide
03-Nov-22,T20I # 1861,Pakistan,South Africa,Pakistan,33 runs,Sydney
04-Nov-22,T20I # 1862,Ireland,New Zealand,New Zealand,35 runs,Adelaide
04-Nov-22,T20I # 1864,Australia,Afghanistan,Australia,4 runs,Adelaide
05-Nov-22,T20I # 1867,England,Sri Lanka,England,4 wickets,Sydney
06-Nov-22,T20I # 1871,Netherlands,South Africa,Netherlands,13 runs,Adelaide
06-Nov-22,T20I # 1872,Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide
06-Nov-22,T20I # 1873,India,Zimbabwe,India,71 runs,Melbourne
09-Nov-22,T20I # 1877,New Zealand,Pakistan,Pakistan,7 wickets,Sydney
10-Nov-22,T20I # 1878,England,India,England,10 wickets,Adelaide
13-Nov-22,T20I # 1879,England,Pakistan,England,5 wickets,Melbourne
